Search Results: Wisconsin / 2016 
FIPS code,State,Jurisdiction,Division,Precincts,Total Registration,Make,Model,Equipment Type,VVPAT,Accessible Use,Early Voting,Absentee Ballots,Polling Place
5500329875,Wisconsin,Ashland Town,Gordon,1,193,Election Systems & Software,AutoMARK,Ballot Marking Device or System,N/A,Yes,Yes,No,Yes
5500329875,Wisconsin,Ashland Town,Gordon,1,193,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500337775,Wisconsin,Ashland Town,Jacobs,1,424,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500337775,Wisconsin,Ashland Town,Jacobs,1,424,Election Systems & Software,AutoMARK,Ballot Marking Device or System,N/A,Yes,Yes,No,Yes
5500342562,Wisconsin,Ashland Town,La Pointe,1,313,Election Systems & Software,AutoMARK,Ballot Marking Device or System,N/A,Yes,Yes,No,Yes
5500342562,Wisconsin,Ashland Town,La Pointe,1,313,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500349200,Wisconsin,Ashland Town,Marengo,1,238,Election Systems & Software,AutoMARK,Ballot Marking Device or System,N/A,Yes,Yes,No,Yes
5500349200,Wisconsin,Ashland Town,Marengo,1,238,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500350700,Wisconsin,Ashland City,Mellen,1,422,Election Systems & Software,AutoMARK,Ballot Marking Device or System,N/A,Yes,Yes,No,Yes
5500350700,Wisconsin,Ashland City,Mellen,1,422,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500354400,Wisconsin,Ashland Town,Morse,1,352,Election Systems & Software,AutoMARK,Ballot Marking Device or System,N/A,Yes,Yes,No,Yes
5500354400,Wisconsin,Ashland Town,Morse,1,352,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500361600,Wisconsin,Ashland Town,Peeksville,1,125,Election Systems & Software,AutoMARK,Ballot Marking Device or System,N/A,Yes,Yes,No,Yes
5500361600,Wisconsin,Ashland Town,Peeksville,1,125,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500371350,Wisconsin,Ashland Town,Sanborn,1,674,Election Systems & Software,AutoMARK,Ballot Marking Device or System,N/A,Yes,Yes,No,Yes
5500371350,Wisconsin,Ashland Town,Sanborn,1,674,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500372825,Wisconsin,Ashland Town,Shanagolden,1,84,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500372825,Wisconsin,Ashland Town,Shanagolden,1,84,Election Systems & Software,AutoMARK,Ballot Marking Device or System,N/A,Yes,Yes,No,Yes
5500386850,Wisconsin,Ashland Town,White River,1,518,Election Systems & Software,AutoMARK,Ballot Marking Device or System,N/A,Yes,Yes,No,Yes
5500386850,Wisconsin,Ashland Town,White River,1,518,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500501325,Wisconsin,Barron Village,Almena,1,326,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500501350,Wisconsin,Barron Town,Almena,1,532,Sequoia (Dominion),AVC Edge,DRE-Touchscreen,Yes,Yes,Yes,No,Yes
5500501350,Wisconsin,Barron Town,Almena,1,532,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500501325,Wisconsin,Barron Village,Almena,1,326,Sequoia (Dominion),AVC Edge,DRE-Touchscreen,Yes,Yes,Yes,No,Yes
5500502775,Wisconsin,Barron Town,Arland,1,383,Sequoia (Dominion),AVC Edge,DRE-Touchscreen,Yes,Yes,Yes,No,Yes
5500502775,Wisconsin,Barron Town,Arland,1,383,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500504875,Wisconsin,Barron City,Barron,1,1588,Sequoia (Dominion),AVC Edge,DRE-Touchscreen,Yes,Yes,Yes,No,Yes
5500504875,Wisconsin,Barron City,Barron,1,1588,Sequoia (Dominion),Optech Insight,Optical Scan,N/A,No,Yes,Yes,Yes
5500504900,Wisconsin,Barron Town,Barron,1,433,Sequoia (Dominion),AVC Edge,DRE-Touchscreen,Yes,Yes,Yes,No,Yes
5500504900,Wisconsin,Barron Town,Barron,1,433,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500505650,Wisconsin,Barron Town,Bear Lake,1,415,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500505650,Wisconsin,Barron Town,Bear Lake,1,415,Sequoia (Dominion),AVC Edge,DRE-Touchscreen,Yes,Yes,Yes,No,Yes
5500512250,Wisconsin,Barron Village,Cameron,1,891,Sequoia (Dominion),AVC Edge,DRE-Touchscreen,Yes,Yes,Yes,No,Yes
5500512250,Wisconsin,Barron Village,Cameron,1,891,Sequoia (Dominion),Optech Insight,Optical Scan,N/A,No,Yes,Yes,Yes
5500513500,Wisconsin,Barron Town,Cedar Lake,1,721,Sequoia (Dominion),Optech Insight,Optical Scan,N/A,No,Yes,Yes,Yes
5500513500,Wisconsin,Barron Town,Cedar Lake,1,721,Sequoia (Dominion),AVC Edge,DRE-Touchscreen,Yes,Yes,Yes,No,Yes
5500514325,Wisconsin,Barron City,Chetek,1,1157,Sequoia (Dominion),AVC Edge,DRE-Touchscreen,Yes,Yes,Yes,No,Yes
5500514325,Wisconsin,Barron City,Chetek,1,1157,Sequoia (Dominion),Optech Insight,Optical Scan,N/A,No,Yes,Yes,Yes
5500514350,Wisconsin,Barron Town,Chetek,1,1130,Sequoia (Dominion),AVC Edge,DRE-Touchscreen,Yes,Yes,Yes,No,Yes
5500514350,Wisconsin,Barron Town,Chetek,1,1130,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500515600,Wisconsin,Barron Town,Clinton,1,400,Sequoia (Dominion),AVC Edge,DRE-Touchscreen,Yes,Yes,Yes,No,Yes
5500515600,Wisconsin,Barron Town,Clinton,1,400,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500517875,Wisconsin,Barron Town,Crystal Lake,1,438,Sequoia (Dominion),AVC Edge,DRE-Touchscreen,Yes,Yes,Yes,No,Yes
5500517875,Wisconsin,Barron Town,Crystal Lake,1,438,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500518025,Wisconsin,Barron City,Cumberland,1,1200,Sequoia (Dominion),AVC Edge,DRE-Touchscreen,Yes,Yes,Yes,No,Yes
5500518025,Wisconsin,Barron City,Cumberland,1,1200,Sequoia (Dominion),Optech Insight,Optical Scan,N/A,No,Yes,Yes,Yes
5500518050,Wisconsin,Barron Town,Cumberland,1,523,Sequoia (Dominion),AVC Edge,DRE-Touchscreen,Yes,Yes,Yes,No,Yes
5500518050,Wisconsin,Barron Town,Cumberland,1,523,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500518575,Wisconsin,Barron Village,Dallas,1,212,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
